City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,291.38,82,8,4.02,NZ,1704331711
1,whitehorse,60.7161,-135.0538,261.58,84,100,2.06,CA,1704331712
2,puerto natales,-51.7236,-72.4875,283.87,91,100,1.72,CL,1704331712
3,mazagao,-0.115,-51.2894,301.18,90,100,1.64,BR,1704331713
4,oulainen,64.2667,24.8,244.71,100,12,1.62,FI,1704331715
5,chibougamau,49.9168,-74.3659,258.94,85,100,2.06,CA,1704331715
6,adamstown,-25.066,-130.1015,297.27,80,99,2.62,PN,1704331459
7,albany,42.6001,-73.9662,275.17,80,97,0.89,US,1704331716
8,yellowknife,62.456,-114.3525,244.44,69,100,3.09,CA,1704331716
9,petropavlovsk-kamchatsky,53.0452,158.6483,259.48,66,0,4.0,RU,1704331716
10,tura,25.5198,90.2201,285.96,77,0,1.59,IN,1704331717
11,cobija,-11.0267,-68.7692,297.81,93,100,0.85,BO,1704331718
12,georgetown,5.4112,100.3354,301.11,77,20,3.6,MY,1704331421
13,coos bay,43.3665,-124.2179,282.22,93,100,0.0,US,1704331719
14,estevan,49.1334,-102.9842,263.34,85,100,3.09,CA,1704331720
15,nemuro,43.3236,145.575,272.46,62,77,3.28,JP,1704331721
16,dubbo,-32.25,148.6167,306.22,38,40,2.57,AU,1704331722
17,iqaluit,63.7506,-68.5145,257.0,55,20,10.29,CA,1704331722
18,olonkinbyen,70.9221,-8.7187,268.96,74,100,7.93,SJ,1704331523
19,jamestown,42.097,-79.2353,273.92,97,100,3.6,US,1704331706
20,port lincoln,-34.7333,135.8667,292.39,83,73,7.42,AU,1704331724
21,kingston,17.997,-76.7936,299.68,87,20,2.06,JM,1704331724
22,port-aux-francais,-49.35,70.2167,277.6,68,71,14.52,TF,1704331724
23,medenine,33.355,10.5055,286.17,43,0,4.81,TN,1704331724
24,nadym,65.5333,72.5167,254.09,86,100,8.0,RU,1704331725
25,invercargill,-46.4,168.35,292.05,74,100,4.47,NZ,1704331470
26,grytviken,-54.2811,-36.5092,276.67,73,100,0.61,GS,1704331725
27,flin flon,54.7682,-101.865,255.33,96,82,1.16,CA,1704331725
28,i-n-salah,27.1935,2.4607,286.33,30,0,5.08,DZ,1704331726
29,aykhal,66.0,111.5,241.69,97,100,2.2,RU,1704331726
30,darwha,20.3167,77.7667,291.59,66,0,3.38,IN,1704331726
31,coquimbo,-29.9533,-71.3436,290.0,94,20,4.12,CL,1704331726
32,simpang,-1.2667,104.0833,297.71,95,100,1.34,ID,1704331726
33,tiksi,71.6872,128.8694,235.97,99,70,2.02,RU,1704331727
34,dikhil,11.5,42.1667,292.66,72,6,2.32,DJ,1704331727
35,lihue,21.9789,-159.3672,299.73,67,40,2.57,US,1704331727
36,maintirano,-18.0667,44.0167,300.0,81,100,3.05,MG,1704331728
37,bethel,41.3712,-73.414,276.35,72,100,2.06,US,1704331630
38,avarua,-21.2078,-159.775,301.18,78,40,7.2,CK,1704331728
39,chipinge,-20.1883,32.6236,288.46,89,5,0.92,ZW,1704331728
40,blackmans bay,-43.0167,147.3167,291.33,66,45,0.89,AU,1704331729
41,san ignacio de velasco,-16.3667,-60.95,296.36,97,100,0.71,BO,1704331729
42,kone,-21.0595,164.8658,306.08,46,39,1.29,NC,1704331729
43,ilulissat,69.2167,-51.1,270.16,43,75,7.72,GL,1704331729
44,bredasdorp,-34.5322,20.0403,292.24,87,100,6.18,ZA,1704331729
45,west island,-12.1568,96.8225,301.14,78,75,6.69,CC,1704331730
46,vilyuysk,63.7553,121.6247,240.04,100,100,2.13,RU,1704331730
47,edinburgh of the seven seas,-37.0676,-12.3116,289.86,90,100,4.02,SH,1704331730
48,mont-tremblant,46.1949,-74.6264,272.92,93,100,1.03,CA,1704331730
49,mar del plata,-38.0023,-57.5575,293.76,90,0,4.12,AR,1704331443
50,atafu village,-8.5421,-172.5159,301.81,74,100,5.04,TK,1704331731
51,nouadhibou,20.931,-17.0347,292.14,59,0,6.17,MR,1704331731
52,asuncion,-25.3007,-57.6359,298.09,69,0,3.09,PY,1704331558
53,tayu,-6.5397,111.0518,299.66,85,100,1.59,ID,1704331731
54,punta arenas,-53.15,-70.9167,287.21,72,75,10.8,CL,1704331732
55,msanga,-6.05,36.0333,292.3,95,100,1.34,TZ,1704331732
56,coahuayana de hidalgo,18.7,-103.6583,296.02,79,58,1.26,MX,1704331732
57,stanley,54.868,-1.6985,278.02,95,75,1.03,GB,1704331732
58,pisco,-13.7,-76.2167,295.18,83,100,7.72,PE,1704331733
59,college,64.8569,-147.8028,258.33,70,40,4.12,US,1704331733
60,kavaratti,10.5669,72.642,298.71,90,100,5.24,IN,1704331733
61,polyarnyy,69.1989,33.4478,258.65,81,99,9.48,RU,1704331733
62,banda aceh,5.5577,95.3222,299.28,79,88,3.94,ID,1704331733
